iter	RMSE
218	16663.03246
219	16638.46344
220	16591.22211
221	16566.66053
222	16536.38763
223	16513.86165
224	16476.65007
225	16440.2753
226	16389.50424
227	16363.16435
228	16347.65625
229	16309.43087
230	16275.90632
231	16231.53342
232	16225.21417
233	16192.02118
234	16185.67944
235	16179.4764
236	16138.5547
237	16090.49864
238	16063.5161
239	16029.65692
240	15988.50551
241	15941.37619
242	15926.19781
243	15920.45604
244	15890.33288
245	15880.5777
246	15839.77261
247	15799.20322
248	15793.94751
249	15748.36815
250	15701.7685
251	15666.34066
252	15636.05595
253	15600.14846
254	15558.89179
255	15506.81396
256	15480.67826
257	15448.06514
258	15422.11339
259	15409.43741
260	15367.17989
261	15338.08471
262	15291.69868
263	15287.23726
264	15245.60983
265	15215.0887
266	15188.62422
267	15183.33267
268	15147.74302
269	15095.27834
270	15060.76634
271	15032.7432
272	15021.84615
273	14987.24672
274	14945.18234
275	14910.11632
276	14899.19541
277	14873.59975
278	14841.0574
279	14803.0559
280	14794.37457
281	14759.31182
282	14755.17675
283	14747.09588
284	14715.28544
285	14711.31368
286	14675.68074
287	14648.02396
288	14623.56382
289	14573.15321
290	14544.98269
291	14502.86284
292	14466.92114
293	14432.24387
294	14396.7694
295	14371.04338
296	14340.04207
297	14319.61726
298	14283.71585
299	14280.19783
300	14256.78411
301	14226.15163
302	14222.83282
303	14204.68415
304	14185.85801
305	14150.86197
306	14117.54222
307	14088.52764
308	14062.15495
309	14038.89198
310	14022.02885
311	13985.87957
312	13956.30411
313	13926.03447
314	13898.21892
315	13869.85485
316	13842.39501
317	13808.92218
318	13794.47383
319	13760.9405
320	13729.89657
321	13700.92725
322	13683.03995
323	13673.20917
324	13647.93057
325	13620.99825
326	13593.53396
327	13561.81206
328	13542.34398
329	13518.80654
330	13489.18618
331	13454.76287
332	13431.62116
333	13401.98253
334	13399.08679
335	13380.81966
336	13361.27864
337	13336.23308
338	13319.25202
339	13300.30305
340	13289.45128
341	13250.95007
342	13219.86002
343	13201.21727
344	13192.35119
345	13158.72942
346	13142.47969
347	13131.20352
348	13099.97747
349	13083.22383
350	13055.22624
351	13025.36379
352	12997.92328
353	12978.28294
354	12950.65286
355	12920.78351
356	12895.82033
357	12871.92354
358	12846.9399
359	12823.27551
360	12799.1557
361	12768.03458
362	12744.0762
363	12716.04218
364	12705.80976
365	12702.26689
366	12677.89363
367	12650.88905
368	12625.16384
369	12595.65781
370	12567.14012
371	12543.17128
372	12530.9971
373	12495.04651
374	12466.00735
375	12462.63765
376	12456.92009
377	12432.28297
378	12402.44643
379	12382.19017
380	12358.12531
381	12355.5932
382	12343.1058
383	12304.61521
384	12271.24399
385	12251.56083
386	12236.93185
387	12218.4432
388	12204.33593
389	12184.65752
390	12173.11773
391	12157.1547
392	12130.06813
393	12109.73671
394	12087.94245
395	12069.4239
396	12041.57266
397	12017.36644
398	12010.71953
399	11987.77407
400	11971.90276
401	11969.46433
402	11958.32945
403	11937.59006
404	11909.54131
405	11892.99889
406	11866.02712
407	11844.35063
408	11827.61595
409	11817.97427
410	11799.65836
411	11774.79338
412	11767.56792
413	11745.49961
414	11737.90009
415	11735.52822
416	11706.3865
417	11687.72165
418	11685.5941
419	11647.04975
420	11631.60839
421	11599.1279
422	11576.19954
423	11555.27429
424	11532.92991
425	11502.78996
426	11484.87952
427	11480.05048
428	11467.07892
429	11448.18009
430	11435.36046
431	11410.79679
432	11386.23211
433	11361.50586
434	11340.44409
435	11315.69153
436	11299.76649
437	11286.92175
438	11265.4541
439	11246.95055
440	11222.03122
441	11202.85648
442	11189.23718
443	11179.96809
444	11164.30598
445	11150.32905
446	11131.34506
447	11128.97313
448	11111.19279
449	11094.43618
450	11074.93137
451	11053.37481
452	11035.22686
453	11005.11204
454	10983.28496
455	10971.00799
456	10959.84544
457	10943.73179
458	10933.99613
459	10913.48491
460	10891.74686
461	10872.92248
462	10865.58742
463	10858.32555
464	10852.40602
465	10839.45302
466	10828.40741
467	10818.30219
468	10804.54885
469	10792.04055
470	10783.01636
471	10768.04148
472	10766.21204
473	10764.44277
474	10748.77795
475	10732.21192
476	10707.33059
477	10695.23684
478	10684.30725
479	10669.63094
480	10651.14414
481	10642.83922
482	10618.73342
483	10604.68123
484	10594.33001
485	10566.39879
486	10549.65171
487	10537.20487
488	10520.89
489	10505.45427
490	10492.65947
491	10482.33826
492	10467.54723
493	10451.36211
494	10431.08291
495	10427.14677
496	10402.19432
497	10390.96771
498	10380.34007
499	10361.55609
500	10341.39933
501	10323.54494
502	10305.64022
503	10284.16138
504	10265.24969
505	10250.73736
506	10248.01706
507	10230.43382
508	10210.95855
509	10209.03037
510	10191.42249
511	10178.92151
512	10165.65371
513	10164.31183
514	10147.40818
515	10133.57389
516	10131.7714
517	10130.27767
518	10114.33178
519	10112.89097
520	10104.48666
521	10103.02418
522	10090.02981
523	10066.6317
524	10058.06618
525	10040.35801
526	10021.40561
527	10000.70494
528	9980.791132
529	9979.583539
530	9977.957149
531	9961.400864
532	9956.383987
533	9946.793445
534	9936.543686
535	9923.907717
536	9913.347418
537	9911.97629
538	9894.112821
539	9875.28662
540	9863.790235
541	9850.897603
542	9834.110991
543	9817.621409
544	9806.608099
545	9790.731004
546	9771.677416
547	9763.682104
548	9749.673491
549	9729.935676
550	9711.353416
551	9697.503479
552	9687.41486
553	9676.641342
554	9666.886565
555	9659.250808
556	9645.075447
557	9625.000057
558	9604.575041
559	9593.336579
560	9580.277228
561	9564.610991
562	9548.548673
563	9528.905349
564	9519.270532
565	9509.177933
566	9499.650232
567	9486.929195
568	9479.955332
569	9463.089613
570	9453.472905
571	9439.455526
572	9429.097634
573	9410.927902
574	9406.572686
575	9405.303856
576	9394.069237
577	9367.86512
578	9366.6527
579	9355.316519
580	9339.771459
581	9328.523889
582	9315.330874
583	9290.408923
584	9287.711253
585	9268.699246
586	9258.802148
587	9253.711623
588	9245.6089
589	9234.264273
590	9219.7386
591	9210.192292
592	9192.794045
593	9181.070316
594	9174.480471
595	9167.695305
596	9152.611289
597	9144.42276
598	9136.442825
599	9123.580796
600	9110.283694
601	9099.074101
602	9088.69393
603	9070.401687
604	9053.929373
605	9041.958275
606	9031.498618
607	9020.407196
608	9011.736996
609	8997.740501
610	8984.909463
611	8965.744614
612	8956.527488
613	8950.415345
614	8938.900519
615	8927.375855
616	8917.654892
617	8901.447047
618	8887.905251
619	8886.406676
620	8870.418977
621	8860.741809
622	8842.232097
623	8841.270236
624	8824.439732
625	8817.310588
626	8799.240538
627	8787.32222
628	8771.620079
629	8763.834681
630	8747.404729
631	8740.809447
632	8724.675554
633	8714.320115
634	8707.629976
635	8692.991247
636	8678.345956
637	8673.284883
638	8665.158413
639	8652.7038
640	8630.426392
641	8619.261613
642	8597.713544
643	8593.097445
644	8582.419948
645	8562.509911
646	8546.173742
647	8526.44443
648	8521.988873
649	8511.412619
650	8501.028681
651	8500.345231
652	8499.324677
653	8478.492906
654	8470.081557
655	8465.172145
656	8464.32251
657	8459.176215
658	8447.116627
659	8446.452217
660	8433.648575
661	8425.276685
662	8416.846727
663	8408.506947
664	8389.392244
665	8368.566552
666	8366.495238
667	8365.896436
668	8357.155347
669	8356.287347
670	8337.365008
671	8336.546745
672	8320.978645
673	8308.000146
674	8296.665421
675	8282.058377
676	8270.98195
677	8267.299652
678	8256.484607
679	8255.731301
680	8247.57924
681	8236.850795
682	8236.06411
683	8231.225581
684	8225.803491
685	8214.746253
686	8211.991852
687	8205.664849
688	8191.235505
689	8179.742613
690	8177.75667
691	8168.008878
692	8147.555662
693	8135.035418
694	8134.458405
695	8122.914999
696	8115.461082
697	8114.799359
698	8114.023632
699	8105.292851
700	8103.959481
701	8093.270398
702	8084.994138
703	8073.710763
704	8062.094432
705	8058.101292
706	8051.604331
707	8048.479653
708	8031.91819
709	8024.412246
710	8015.613383
711	8003.005314
712	7993.911789
713	7985.157229
714	7971.677624
715	7962.483928
716	7961.480928
717	7944.385337
718	7936.986629
719	7922.509266
720	7916.564774
721	7901.757798
722	7901.108353
723	7898.914401
724	7886.597843
725	7880.135581
726	7873.443498
727	7870.581611
728	7870.041158
729	7864.812497
730	7853.474491
731	7847.804983
732	7847.166148
733	7841.462753
734	7840.886138
735	7828.419161
736	7823.375374
737	7818.318913
738	7809.215867
739	7803.011857
740	7797.305831
741	7796.585159
742	7788.963996
743	7777.510668
744	7772.50857
745	7760.66096
746	7747.566346
747	7746.886704
748	7746.346404
749	7735.931513
750	7722.208241
751	7718.606282
752	7714.629907
753	7703.83827
754	7694.513906
755	7685.273245
756	7671.168194
757	7670.64582
758	7665.922794
759	7654.585566
760	7643.899367
761	7641.46551
762	7624.141138
763	7606.942223
764	7599.477944
765	7585.955636
766	7583.429464
767	7571.23957
768	7560.354459
769	7559.783932
770	7547.911828
771	7543.778733
772	7530.259732
773	7521.208579
774	7512.292183
775	7500.380566
776	7496.837158
777	7485.787545
778	7473.257617
779	7462.971429
780	7455.822785
781	7439.668589
782	7427.14133
783	7413.080575
784	7411.286848
785	7406.044473
786	7398.482066
787	7385.966386
788	7380.287053
789	7374.209802
790	7362.450754
791	7355.377408
792	7345.469325
793	7335.840622
794	7335.353366
795	7324.747559
796	7323.232573
797	7310.280392
798	7303.705276
799	7294.883465
800	7294.400524
801	7284.390023
802	7273.279877
803	7263.51836
804	7249.977829
805	7244.585307
806	7237.503801
807	7224.743419
808	7216.002229
809	7199.249321
810	7188.246066
811	7178.753448
812	7178.361417
813	7177.331364
814	7168.005126
815	7159.31304
816	7158.789874
817	7147.684745
818	7143.131896
819	7135.1327
820	7130.81328
821	7119.368392
822	7106.22958
823	7097.665933
824	7089.748792
825	7081.296003
826	7080.802568
827	7070.334205
828	7063.305391
829	7048.75667
830	7043.363772
831	7038.749358
832	7023.271639
833	7014.658582
834	7000.889306
835	6988.816443
836	6988.310409
837	6981.093347
838	6971.892745
839	6971.491809
840	6957.168575
841	6956.337112
842	6948.421247
843	6940.348258
844	6924.848384
845	6914.814681
846	6896.707366
847	6895.970616
848	6889.364093
849	6880.765677
850	6871.193909
851	6861.154862
852	6860.75281
853	6855.305694
854	6849.497141
855	6839.029564
856	6830.372785
857	6821.899313
858	6810.233485
859	6802.460008
860	6795.645777
861	6788.370592
862	6777.287922
863	6776.959043
864	6769.989046
865	6763.497721
866	6753.17971
867	6742.510865
868	6733.913451
869	6719.314836
870	6710.136929
871	6709.774363
872	6708.293886
873	6703.91851
874	6700.122122
875	6696.559303
876	6688.538443
877	6685.162127
878	6678.065019
879	6672.063461
880	6671.41978
881	6663.567164
882	6663.12
883	6652.737069
884	6646.533867
885	6642.445865
886	6636.66208
887	6622.182709
888	6621.827604
889	6611.579901
890	6599.544144
891	6598.498879
892	6590.018313
893	6588.502945
894	6583.257633
895	6576.10087
896	6564.408615
897	6562.331359
898	6558.171338
899	6550.406565
900	6542.950558
901	6536.080549
902	6530.257103
903	6528.491754
904	6518.548199
905	6508.700815
906	6500.835623
907	6500.25155
908	6489.274991
909	6481.638473
910	6480.323634
911	6479.889452
912	6479.41165
913	6467.834028
914	6462.314591
915	6454.680073
916	6449.263699
917	6443.816284
918	6435.804028
919	6427.019132
920	6420.437687
921	6413.413395
922	6406.172933
923	6395.206695
924	6390.773335
925	6384.177134
926	6382.458551
927	6373.434469
928	6364.486826
929	6364.176208
930	6355.41799
931	6347.056969
932	6338.507059
933	6330.062248
934	6325.40097
935	6319.891257
936	6313.814463
937	6309.539065
938	6303.718845
939	6296.509988
940	6292.631472
941	6286.671399
942	6281.29022
943	6279.454637
944	6272.063958
945	6259.00943
946	6246.400335
947	6239.573232
948	6233.922652
949	6223.97482
950	6223.637972
951	6223.269755
952	6217.075919
953	6213.62594
954	6205.721222
955	6200.194469
956	6193.113322
957	6186.828831
958	6186.332677
959	6179.762803
960	6174.10782
961	6165.049117
962	6161.134631
963	6153.654649
964	6149.237096
965	6144.161686
966	6138.434698
967	6131.125654
968	6130.827156
969	6120.402492
970	6116.680776
971	6113.02121
972	6107.790958
973	6098.164811
974	6097.067589
975	6086.777638
976	6086.552254
977	6078.072497
978	6071.782308
979	6069.526204
980	6066.319155
981	6063.755397
982	6059.069801
983	6049.404889
984	6046.302516
985	6040.26866
986	6031.201108
987	6029.526712
988	6026.174204
989	6016.476098
990	6011.375077
991	6003.713732
992	5995.374908
993	5993.197604
994	5992.819925
995	5984.457583
996	5976.064548
997	5970.702511
998	5960.152101
999	5953.319377
