iter	MultiClass
0	1.822130949
1	1.720256838
2	1.634177147
3	1.565260157
4	1.511020624
5	1.46232357
6	1.417319901
7	1.38017647
8	1.348101692
9	1.317814014
10	1.293423661
11	1.269853511
12	1.249012965
13	1.229873127
14	1.212926412
15	1.195464077
16	1.180720592
17	1.168742996
18	1.156150569
19	1.143333417
20	1.131119191
21	1.120984431
22	1.111112677
23	1.102650609
24	1.095332049
25	1.087479055
26	1.080162585
27	1.072256538
28	1.065680924
29	1.060193052
30	1.052628249
31	1.047459038
32	1.041608064
33	1.037380657
34	1.033294133
35	1.029132037
36	1.02473509
37	1.019674694
38	1.015374265
39	1.011257025
40	1.007866113
41	1.004454481
42	1.001697683
43	0.998143642
44	0.994420507
45	0.9915726533
46	0.9891243489
47	0.9867197975
48	0.982948201
49	0.9793899694
50	0.9765129163
51	0.9724625659
52	0.9697889337
53	0.9676225731
54	0.9655256626
55	0.9629867889
56	0.9602883701
57	0.9585418346
58	0.9554758323
59	0.9537582527
60	0.9520870211
61	0.9496694049
62	0.9480726371
63	0.9467916937
64	0.9441702601
65	0.94309756
66	0.9410809834
67	0.93924276
68	0.9377277569
69	0.9357695231
70	0.9325294692
71	0.9305677664
72	0.9289728572
73	0.9267876989
74	0.9255379769
75	0.9233912872
76	0.9212077283
77	0.9189589522
78	0.9175767239
79	0.9166235551
80	0.9148901699
81	0.913488667
82	0.9116043428
83	0.9096832242
84	0.9079464996
85	0.9063482383
86	0.9051316915
87	0.903319567
88	0.9015423788
89	0.899225837
90	0.8979721105
91	0.8967244776
92	0.8947234674
93	0.8929385853
94	0.891409663
95	0.8899520678
96	0.8871740665
97	0.8858642745
98	0.8843670721
99	0.8820813441
100	0.8813750952
101	0.8807551617
102	0.8789124967
103	0.8767953547
104	0.8755322465
105	0.8749754559
106	0.873698858
107	0.8713937095
108	0.8705058332
109	0.8688799919
110	0.8676491494
111	0.8654533322
112	0.8630311246
113	0.8614501111
114	0.8609081949
115	0.8599463477
116	0.8586937961
117	0.8572631597
118	0.8556291912
119	0.8535758918
120	0.8528885055
121	0.8510929903
122	0.8495034525
123	0.848811367
124	0.8464304798
125	0.8444975608
126	0.8436056613
127	0.8422198743
128	0.8408962824
129	0.8401456246
130	0.8384381493
131	0.837380863
132	0.8355570551
133	0.8340928906
134	0.8325445478
135	0.8316462426
136	0.8306944026
137	0.8287233872
138	0.8275941046
139	0.8263394969
140	0.8253665993
141	0.8238738512
142	0.8227190861
143	0.8203546073
144	0.8195149923
145	0.8186232722
146	0.8165137713
147	0.8158231577
148	0.8136557296
149	0.8124986874
150	0.8113572042
151	0.8098614774
152	0.8085906741
153	0.8077233834
154	0.8048640186
155	0.8030580864
156	0.8025068619
157	0.800994425
158	0.7988110564
159	0.7969845098
160	0.7963288294
161	0.7953196946
162	0.7939161532
163	0.7926540974
164	0.7913804568
165	0.7900124266
166	0.7890399186
167	0.7874358842
168	0.7866202277
169	0.7852011729
170	0.7844476888
171	0.7827766071
172	0.7814742807
173	0.7806727239
174	0.7791797172
175	0.7774191328
176	0.7757183707
177	0.7730785304
178	0.7712662865
179	0.7696817641
180	0.7688984747
181	0.7678521578
182	0.7667057015
183	0.766008604
184	0.7654387701
185	0.7641482697
186	0.7625830649
187	0.7608290477
188	0.7595138737
189	0.7586617606
190	0.7568870077
191	0.7555380046
192	0.7543500302
193	0.7538351995
194	0.7525935665
195	0.7506738457
196	0.7490333822
197	0.7476283158
198	0.7464900648
199	0.7460466052
200	0.7442230031
201	0.7433165089
202	0.7412313712
203	0.7406733109
204	0.7400491188
205	0.738857942
206	0.7378194113
207	0.7368309167
208	0.7363136998
209	0.7345272433
210	0.7340895428
