iter	Passed	Remaining
411	4238	11192
412	4249	11184
413	4259	11174
414	4287	11210
415	4307	11223
416	4319	11218
417	4329	11207
418	4341	11200
419	4350	11186
420	4360	11174
421	4369	11162
422	4379	11149
423	4387	11135
424	4396	11120
425	4405	11105
426	4413	11091
427	4424	11082
428	4433	11068
429	4443	11056
430	4451	11041
431	4461	11029
432	4471	11018
433	4481	11007
434	4491	10995
435	4499	10980
436	4508	10966
437	4516	10951
438	4525	10937
439	4533	10922
440	4543	10909
441	4552	10896
442	4560	10882
443	4571	10873
444	4580	10858
445	4589	10846
446	4598	10832
447	4608	10820
448	4615	10804
449	4624	10791
450	4634	10779
451	4645	10769
452	4655	10759
453	4663	10745
454	4674	10735
455	4682	10720
456	4691	10706
457	4700	10694
458	4731	10731
459	4764	10772
460	4778	10769
461	4790	10763
462	4801	10753
463	4809	10739
464	4818	10725
465	4827	10711
466	4837	10699
467	4848	10690
468	4863	10692
469	4871	10676
470	4882	10666
471	4892	10656
472	4902	10643
473	4911	10631
474	4919	10616
475	4928	10602
476	4937	10588
477	4946	10576
478	4955	10561
479	4964	10549
480	4972	10535
481	4982	10522
482	4991	10509
483	5001	10498
484	5010	10486
485	5019	10472
486	5028	10460
487	5039	10450
488	5050	10442
489	5060	10429
490	5069	10416
491	5078	10405
492	5087	10390
493	5096	10378
494	5104	10364
495	5113	10350
496	5121	10336
497	5130	10323
498	5140	10311
499	5148	10297
500	5157	10283
501	5166	10271
502	5176	10260
503	5185	10246
504	5193	10232
505	5201	10218
506	5211	10206
507	5221	10195
508	5230	10183
509	5239	10170
510	5247	10156
511	5258	10146
512	5268	10135
513	5277	10123
514	5285	10108
515	5293	10094
516	5300	10078
517	5309	10065
518	5317	10050
519	5325	10037
520	5333	10022
521	5341	10008
522	5350	9994
523	5358	9981
524	5367	9968
525	5376	9955
526	5385	9942
527	5392	9927
528	5400	9913
529	5408	9898
530	5423	9896
531	5448	9914
532	5465	9915
533	5474	9904
534	5486	9895
535	5494	9881
536	5503	9869
537	5512	9856
538	5521	9845
539	5530	9832
540	5539	9819
541	5547	9805
542	5556	9792
543	5564	9779
544	5574	9768
545	5584	9756
546	5594	9747
547	5616	9757
548	5653	9792
549	5662	9780
550	5675	9775
551	5688	9769
552	5697	9757
553	5705	9743
554	5714	9730
555	5722	9716
556	5731	9703
557	5739	9689
558	5748	9676
559	5756	9662
560	5766	9652
561	5775	9639
562	5784	9627
563	5793	9614
564	5803	9604
565	5814	9594
566	5823	9582
567	5833	9572
568	5843	9561
569	5851	9547
570	5862	9537
571	5870	9524
572	5879	9511
573	5891	9504
574	5900	9491
575	5909	9479
576	5917	9465
577	5926	9453
578	5934	9440
579	5943	9427
580	5952	9415
581	5961	9403
582	5970	9390
583	5979	9378
584	5990	9369
585	6001	9360
586	6013	9353
587	6022	9341
588	6030	9327
589	6039	9315
590	6049	9305
591	6059	9293
592	6067	9279
593	6074	9265
594	6083	9252
595	6091	9238
596	6099	9225
597	6108	9213
598	6116	9200
599	6124	9187
600	6134	9175
601	6142	9162
602	6152	9152
603	6160	9139
604	6170	9128
605	6180	9117
606	6190	9107
607	6201	9098
608	6209	9085
609	6219	9073
610	6226	9059
611	6235	9047
612	6243	9033
613	6252	9021
614	6260	9008
615	6304	9046
616	6322	9047
617	6333	9038
618	6347	9033
619	6359	9026
620	6370	9017
621	6381	9007
622	6389	8995
623	6399	8983
624	6408	8972
625	6418	8961
626	6427	8949
627	6435	8936
628	6443	8923
629	6452	8909
630	6460	8896
631	6469	8885
632	6479	8874
633	6488	8862
634	6496	8850
635	6504	8836
636	6514	8825
637	6523	8813
638	6537	8808
639	6555	8808
640	6572	8807
641	6583	8797
642	6597	8793
643	6607	8782
644	6616	8770
645	6626	8759
646	6634	8747
647	6644	8736
648	6654	8725
649	6664	8715
650	6674	8705
651	6683	8692
652	6693	8681
653	6701	8668
654	6710	8656
655	6720	8646
656	6729	8634
657	6737	8621
658	6745	8608
659	6756	8598
660	6766	8588
661	6780	8583
662	6795	8579
663	6805	8568
664	6814	8556
665	6824	8545
666	6832	8532
667	6841	8521
668	6849	8508
669	6858	8496
670	6867	8484
671	6876	8472
672	6885	8461
673	6894	8449
674	6903	8437
675	6911	8425
676	6922	8415
677	6930	8402
678	6939	8390
679	6947	8377
680	6957	8366
681	6972	8363
682	6988	8359
683	6997	8348
684	7006	8336
685	7015	8324
686	7024	8312
687	7033	8301
688	7042	8289
689	7051	8277
690	7059	8265
691	7069	8254
692	7078	8242
693	7086	8230
694	7095	8218
695	7104	8206
696	7116	8198
697	7124	8185
698	7133	8174
699	7141	8161
700	7150	8150
701	7211	8198
702	7221	8186
703	7234	8180
704	7247	8172
705	7256	8160
706	7265	8149
707	7273	8136
708	7282	8125
709	7291	8113
710	7300	8101
711	7309	8089
712	7317	8076
713	7325	8064
714	7334	8052
715	7344	8042
716	7354	8031
717	7365	8021
718	7374	8010
719	7383	7998
720	7392	7987
721	7401	7975
722	7410	7964
723	7418	7951
724	7428	7940
725	7435	7927
726	7444	7915
727	7453	7903
728	7462	7892
729	7471	7881
730	7481	7869
731	7490	7858
732	7498	7846
733	7507	7835
734	7516	7823
735	7526	7812
736	7536	7802
737	7546	7791
738	7555	7780
739	7564	7768
740	7573	7757
741	7581	7745
742	7590	7733
743	7598	7721
744	7607	7709
745	7615	7697
746	7623	7685
747	7631	7672
748	7640	7660
749	7648	7648
750	7657	7636
751	7666	7625
752	7680	7619
753	7697	7616
754	7711	7609
755	7721	7598
756	7732	7589
757	7741	7577
758	7749	7565
759	7757	7553
760	7770	7546
761	7781	7536
762	7789	7524
763	7797	7512
764	7806	7500
765	7814	7488
766	7823	7476
767	7832	7465
768	7876	7487
769	7893	7483
770	7906	7476
771	7923	7471
772	7934	7462
773	7952	7459
774	7960	7447
775	7970	7436
776	7979	7424
777	7988	7413
778	7997	7402
779	8005	7390
780	8014	7378
781	8023	7366
782	8032	7355
783	8040	7342
784	8049	7331
785	8057	7319
786	8067	7309
787	8075	7297
788	8084	7284
789	8092	7273
790	8102	7262
791	8112	7252
792	8122	7241
793	8132	7231
794	8141	7220
795	8151	7208
796	8161	7198
797	8171	7188
798	8180	7177
799	8188	7165
800	8197	7153
801	8206	7142
802	8214	7130
803	8224	7119
804	8233	7108
805	8242	7097
806	8252	7086
807	8261	7075
808	8269	7063
809	8278	7052
810	8287	7041
811	8298	7031
812	8308	7020
813	8316	7008
814	8326	6998
815	8335	6986
816	8344	6975
817	8352	6963
818	8360	6952
819	8370	6941
820	8378	6929
821	8387	6917
822	8395	6906
823	8404	6895
824	8413	6883
825	8423	6873
826	8432	6862
827	8441	6851
828	8450	6840
829	8458	6828
830	8467	6816
831	8475	6804
